car: 0.998,  (704.000, 338.000, 883.000, 481.000)
car: 0.997,  (1100.000, 472.000, 1278.000, 718.000)
car: 0.997,  (0.000, 302.000, 195.000, 622.000)
car: 0.995,  (847.000, 366.000, 903.000, 437.000)
car: 0.994,  (561.000, 345.000, 610.000, 390.000)
car: 0.994,  (640.000, 346.000, 734.000, 417.000)
car: 0.863,  (599.000, 351.000, 644.000, 386.000)
car: 0.744,  (627.000, 348.000, 676.000, 391.000)
person: 0.937,  (439.000, 338.000, 460.000, 384.000)
person: 0.836,  (173.000, 317.000, 204.000, 390.000)
person: 0.738,  (451.000, 338.000, 469.000, 380.000)
