car: 1.000,  (918.000, 345.000, 1187.000, 557.000)
car: 0.999,  (32.000, 404.000, 333.000, 567.000)
car: 0.999,  (1502.000, 345.000, 2030.000, 684.000)
car: 0.999,  (295.000, 375.000, 500.000, 524.000)
car: 0.999,  (470.000, 389.000, 612.000, 505.000)
car: 0.998,  (1376.000, 364.000, 1644.000, 588.000)
car: 0.992,  (1872.000, 441.000, 2046.000, 785.000)
car: 0.990,  (1224.000, 242.000, 1550.000, 545.000)
car: 0.987,  (654.000, 403.000, 716.000, 472.000)
car: 0.983,  (827.000, 398.000, 929.000, 449.000)
person: 0.607,  (763.000, 404.000, 808.000, 448.000)
