bicycle: 0.993,  (1590.000, 384.000, 1786.000, 515.000)
car: 1.000,  (148.000, 385.000, 439.000, 544.000)
car: 1.000,  (920.000, 330.000, 1331.000, 694.000)
car: 0.999,  (471.000, 379.000, 629.000, 498.000)
car: 0.999,  (1430.000, 363.000, 1614.000, 454.000)
car: 0.917,  (635.000, 389.000, 705.000, 461.000)
car: 0.747,  (1337.000, 379.000, 1418.000, 429.000)
car: 0.733,  (581.000, 375.000, 657.000, 478.000)
car: 0.532,  (1588.000, 374.000, 1649.000, 422.000)
truck: 0.944,  (714.000, 314.000, 885.000, 438.000)
