bicycle: 0.993,  (1591.000, 384.000, 1797.000, 514.000)
car: 1.000,  (152.000, 385.000, 434.000, 542.000)
car: 0.999,  (913.000, 331.000, 1344.000, 688.000)
car: 0.999,  (471.000, 380.000, 620.000, 500.000)
car: 0.998,  (1440.000, 364.000, 1616.000, 458.000)
car: 0.968,  (625.000, 387.000, 701.000, 464.000)
car: 0.909,  (579.000, 378.000, 652.000, 480.000)
car: 0.867,  (1276.000, 383.000, 1357.000, 455.000)
car: 0.789,  (1333.000, 368.000, 1437.000, 438.000)
person: 0.553,  (1622.000, 371.000, 1659.000, 407.000)
truck: 0.982,  (718.000, 312.000, 885.000, 439.000)
