bicycle: 0.992,  (1591.000, 386.000, 1793.000, 515.000)
car: 1.000,  (159.000, 386.000, 435.000, 541.000)
car: 1.000,  (915.000, 346.000, 1335.000, 690.000)
car: 0.999,  (474.000, 381.000, 626.000, 494.000)
car: 0.998,  (1441.000, 364.000, 1604.000, 455.000)
car: 0.953,  (634.000, 390.000, 702.000, 462.000)
car: 0.835,  (585.000, 381.000, 664.000, 475.000)
car: 0.592,  (713.000, 403.000, 773.000, 443.000)
car: 0.591,  (1881.000, 362.000, 1928.000, 409.000)
truck: 0.848,  (779.000, 334.000, 877.000, 429.000)
