bicycle: 0.994,  (1590.000, 379.000, 1794.000, 515.000)
bicycle: 0.509,  (1924.000, 382.000, 2013.000, 491.000)
car: 1.000,  (909.000, 331.000, 1341.000, 685.000)
car: 1.000,  (152.000, 382.000, 437.000, 545.000)
car: 0.999,  (468.000, 379.000, 625.000, 495.000)
car: 0.998,  (1431.000, 363.000, 1621.000, 452.000)
car: 0.944,  (599.000, 383.000, 669.000, 471.000)
car: 0.800,  (1272.000, 368.000, 1364.000, 438.000)
car: 0.586,  (1346.000, 364.000, 1444.000, 423.000)
car: 0.555,  (1862.000, 380.000, 1902.000, 412.000)
car: 0.515,  (1894.000, 356.000, 1953.000, 417.000)
truck: 0.992,  (722.000, 314.000, 885.000, 437.000)
